"screen_name","text","created_at"
"BetterknowYou","Cuomo considered doing a  series of person on the street  interviews to convince voters  he was doing a great job   according to report  Before Andrew Cuomo decided to resign  some of his aides reportedly pitched running the ads to turn the tides of   ",2021-08-11 14:14:34
"NBCNewsTHINK","New York Gov  Andrew Cuomo announced his resignation  But more heads need to roll  writes   

Until we remove those who value being adjacent to power over people  cycles of abuse will continue 

",2021-08-11 14:14:00
"RobS____","  s ⁦⁩ reportedly urged brother to resign  concluded governor could not survive scandals

 ",2021-08-11 14:13:50
"RobS____","Celebrities who once fawned over ⁦⁩ are now nowhere to be found 

",2021-08-11 13:47:34
"GrantSwanson88","Late Night Weighs In on Andrew Cuomo s Resignation ",2021-08-11 14:13:50
"GrantSwanson88","The Resignation of Andrew Cuomo ",2021-08-11 14:05:06
"GrantSwanson88","Morning Digest  With Andrew Cuomo s departure  Kathy Hochul becomes New York s first female governor ",2021-08-11 14:08:41
"mikiebarb","On today s Daily  the resignation of Andrew Cuomo  
Our guest   
",2021-08-11 14:13:47
"JStordahl","Rekha Basu  Andrew Cuomo s protests strain credulity  and make me wonder what Mario Cuomo would say  via ",2021-08-11 14:13:41
"alex_shephard"," Given the serious inequities in publishing low advances paid to many authors  low salaries for many workers  a lack of diversity at every level the high advances paid to bland books that rarely sell is particularly galling   ",2021-08-11 14:13:38
"alex_shephard","I wrote about Andrew Cuomo s book deal earlier this year  ",2021-08-11 14:04:49
"alex_shephard","One thing I should have added is that publishing s executive class is full of the kinds of people who were cheering on Cuomo last spring  This is a deal that happens because of a political symbiosis between Cuomo and publishing s C Suite ",2021-08-11 14:07:01
"AndrewGiambrone","on   NYS Sen  Mike Gianaris says he s somewhat suspicious about Gov  Andrew Cuomo s two week lead time for resigning  

 the governor has executive powers   Gianaris says   we should all be closely monitoring his executive orders  and other actions until he steps down",2021-08-11 14:13:32
"LesPhillips17","Alec Baldwin s Andrew Cuomo Defense Is Further Proof That He s a Real Life Boss Baby  
baldwin defending cuomos sexual predator actions speaks volumes about baldwin ",2021-08-11 14:13:29
"GranthshalaNews","Alec Baldwin says Andrew Cuomo s resignation is  sad    When these things happen it s a shame for our society  ",2021-08-11 13:11:21
"GranthshalaNews","Andrew Cuomo is resigning  but the investigations into his conduct will continue ",2021-08-11 14:13:21
"GranthshalaNews","NYC protesters celebrate Andrew Cuomo s resignation  demand CNN fire Chris ",2021-08-11 13:59:12
"KeithLaney","When I get home from vacation  I will be making a tweet on my thoughts from the resignation of New York Governor Andrew Cuomo  Now is not the time for me to do that ",2021-08-11 14:13:19
"BetaSeries_News","Colbert Grills Brian Stelter on CNN s Handling of Chris and Andrew Cuomo   It Seems Like an Odd Conflict of Rules   ",2021-08-11 14:13:11
"deaninwaukesha","Good grief   

I have no love for Cuomo  but this is completely irresponsible journalism and it happens way too much   

NY Gov  Andrew Cuomo Allegedly Once Didn t Hire a Woman Because She Wasn t  Pretty Enough  ",2021-08-11 14:12:59
"NYSSRCC","You had a private dinner with Andrew Cuomo TWO MONTHS ago  

You and your colleagues enabled Andrew Cuomo to cling to power despite a mountain of impeachable offenses  ",2021-08-11 14:12:52
"JudgeARobertson","TARGETED FORMER NEW YORK GOVERNOR ANDREW CUOMO BASED FROM TWO MANY MAJOR ASSISTING OF AFRICAN AMERICANS By GODS CHIEF JUDGE  GREAT PROPHET  amp  CHIEF HIGH POWER PRINCE 👑   ",2021-08-11 13:36:43
"JudgeARobertson","THROUGHOUT THE GOVERNOR ANDREW CUOMO S REDUCING BARRIERS FOR NEW YORKERS WITH CRIMINAL CONVICTIONS  THIS MENT MOSTLY BLACK AMERICANS  A   PRECENT OF HELPING TOO MANY BLACK OR AFRICAN AMERICANS  SINCE      By GOD S CHIEF HIGH POWER PRINCE 👑 GREAT PROPHET  amp  CHIEF JUDGE   ",2021-08-11 14:12:50
"JudgeARobertson"," GOVERNOR ANDREW CUOMO OF THE STATE OF NEW YORK  I  LIKED THE SPEECH GIVEN ON CBSN NEWS CHANNEL  ",2021-08-11 13:52:11
"samantha_chang","😁 Trump is dissing Andrew Cuomo for resigning after the  Love Gov  sexually harassed scores of women and killed thousands of senior citizens in nursing homes 

",2021-08-11 14:12:45
"bideninept","Bye Bye Chris you fraud 
CNN must fire him 

Chris Cuomo Hemorrhages Female Viewers After Brother Andrew s Sexual Harassment Scandal ",2021-08-11 14:12:44
"ready4jak13"," isn t it interesting how Chris Cuomo isn t on his show the last two days so  can cover the Andrew Cuomo bs  I like Chris but I think he really stumbled on this and needs to be disciplined for really poor judgment ",2021-08-11 14:12:42
"wfaresquirrel","Watching Andrew Cuomo is inspiring  uplifting  fascinating  He weaves details and humor and math and common sense all together  He is magnificent  Let s just listen to him ",2021-08-11 14:12:41
"szetotm","Why so tough on Andrew Cuomo  What happened to Trump with the  women s complain of harassment  Who are the Dems to think they are to hold the super moral standard  Andrew Cuomo needs to step down  so did Trump Spend time on Trump not Chris ",2021-08-11 14:12:31
"WGRZ_SteveBrown","Churchill  Andrew Cuomo is not a victim 
",2021-08-11 14:12:29
"jpjones7031","What a coincidence Andrew Cuomo s replacement is a woman     🤔",2021-08-11 14:12:28
"walt828","  AskPreet Re Andrew Cuomo  It s one thing to respond from a professional standpoint about what seems to be Cuomo s long term vendetta against you and his behavior  But can I ask how this has personally affected you and your family  I d think it would be disturbing ",2021-08-11 14:12:27
"theintercept","Patriarchal violence in New York politics and beyond will not come to an end with the removal of a small number of predatory perpetrators  however powerful  writes   ",2021-08-11 14:12:16
"poozer87","Will Gov  Andrew Cuomo host a dueling press conference   maybe a  COVID briefing   at  p m   to try to steal the spotlight from  s scheduled briefing ",2021-08-11 14:12:15
"GerryCallahan","Poor Andrew Cuomo  Just an unwitting throwback to a time when grabbing women s breasts  amp  buttocks was good old fashioned workplace banter 
Plus  former Cuomosexual  turns on the disgraced NY governor but still manages to suck  Today s GCS  ",2021-08-11 14:12:09
"DaniaPeriodista","Chris Cuomo strolls off lavish Hamptons dock  ignores questions about brother Andrew Cuomo s resignation | Fox News ",2021-08-11 14:11:54
"countdante67","Pretty much this 

CNN and Chris Cuomo have failed where Albany Times Union has succeeded  ChrisCuomo  andrewcuomo ",2021-08-11 14:11:53
"pacnw_investor","Coward  CNN s Chris Cuomo silent when confronted by Fox on brother Andrew Cuomo s resignation   Fox News ",2021-08-11 14:11:52
"sevenohthree"," THIS IS WORSE FOR ITALIANS THAN ANDREW CUOMO",2021-08-11 14:11:51
"wildgreenchild1","New York Governor Andrew Cuomo could still face impeachment and lawsuits  via ",2021-08-11 14:11:48
"memeorandum","Andrew Cuomo Leaves as He Governed  National Review 


",2021-08-11 12:41:17
"memeorandum","Andrew Cuomo is resigning  but the investigations into his conduct will continue  USA Today 


",2021-08-11 14:11:32
"WinterAsh12","❤️ this 

Governor Andrew Cuomo is finally resigning  

 maga  ",2021-08-11 14:11:24
